x	y
3.2332 4.2604
6.4466 3.5725
6.6128 3.5457
5.6167 2.8165
4.9689 4.3083
4.2563 6.2301
2.1228 6.7457
7.3638 2.4505
3.2869 2.2371
5.6762 3.3318
4.6624 5.1857
6.8865 5.1899
4.1001 4.3635
3.5297 7.9371
3.8061 3.7885
7.1674 7.6731
5.6952 4.1433
3.8666 3.1608
5.0663 6.1401
7.6796 4.3981
3.3495 2.8176
4.0062 6.8546
8.2013 1.1936
2.8174 5.3717
5.1410 5.7427
8.2330 6.7146
5.5844 6.1106
5.1105 4.7241
2.7135 6.1328
5.2708 7.4273
7.6866 7.7800
2.1933 4.5757
2.9829 5.1191
6.5532 5.7000
4.5067 7.0689
3.5145 4.7690
6.0836 4.1141
6.8818 2.4577
4.0712 7.3165
5.4698 5.9122
10.1686 2.3079
8.7540 0.4128
10.1692 0.2096
11.2069 1.8265
10.8854 -0.0050
8.0965 -0.6693
8.8719 -0.8014
9.5693 -0.1717
10.4509 0.3015
8.2963 0.7409
8.2283 0.4722
10.3061 -1.0492
7.7160 0.5276
10.5754 0.2254
10.8931 0.2011
6.2841 -0.2303
6.4610 0.4172
12.9272 2.1121
10.1552 -0.8647
9.9794 -0.5825
10.2197 0.4781
9.9630 -1.7751
9.7989 -0.2735
9.3299 -0.9970
8.6259 -2.3990
9.9745 1.0941
10.4862 -2.2408
8.7338 -1.0776
7.7011 1.2670
9.5522 0.2180
10.2078 2.1842
9.5265 0.7905
10.7712 1.1351
11.4726 1.7417
10.9138 0.7692
8.2726 1.7892
8.7337 1.0082
8.9356 -1.8864
12.3201 -0.3172
10.1312 -1.0764
9.8127 1.2439
7.8047 -2.0141
10.6875 2.5551
7.8156 -0.9153
6.6763 0.2091
9.8383 0.1408
10.2290 0.5487
10.3889 -0.1382
11.4572 -0.6347
10.9489 0.1580
13.4524 -0.0701
12.3259 -1.1152
8.6493 -0.4527
8.2980 -1.2903
11.3717 1.5045
9.7301 0.7092
9.2058 -3.1555
9.7837 -0.4308
8.7187 -0.1755
8.2929 -0.0979
11.9800 -0.4989
10.6965 0.8465
7.8740 -2.2037
12.0814 1.4381
9.5028 0.1226
7.5787 1.8315
10.3579 0.8273
12.8609 -0.8553
10.2596 0.6726
8.0909 -1.0904
8.0618 -1.3598
11.4109 2.3135
10.0533 0.2412
10.7872 -0.8974
10.4445 0.3324
7.0351 1.5756
10.0893 0.0986
11.1309 1.5483
10.3862 -0.1479
10.0849 -0.6980
8.4834 1.3564
8.1350 -0.1544
11.4552 -1.8518
7.2173 2.0897
10.4678 0.9642
9.4031 -0.2206
9.5336 -1.5181
9.8941 -4.7529
11.4827 1.9991
10.6108 -0.2439
13.5285 0.4214
9.6146 1.1157
8.9748 -1.2317
12.4327 3.1478
12.2528 0.8251
10.1707 0.1082
11.4923 0.5405
11.4041 0.8998
10.3727 1.3285
10.1236 -1.2662
5.2589 -2.6904
3.8389 -6.3594
5.9667 -6.6682
3.0742 -3.0118
5.7641 -3.3495
6.7486 -3.4795
7.3055 -2.8936
5.3263 -8.0745
5.7659 -6.0034
4.7843 -5.5778
8.5312 -4.1174
6.1984 -5.6899
3.4855 -4.9078
3.7352 -5.8920
4.2253 -5.0867
7.1221 -4.4986
4.2562 -5.6437
6.7623 -2.4937
5.9488 -3.9901
5.9198 -6.4355
6.5250 -3.7215
4.4091 -6.6314
5.5793 -4.4808
6.7249 -7.5086
5.1037 -5.8064
4.7165 -4.4403
6.4912 -4.6805
2.9123 -5.8913
4.4248 -2.1133
6.6950 -3.9736
5.5144 -5.1429
3.7766 -5.9161
3.4187 -3.9190
6.5703 -6.9695
5.6662 -4.4372
6.6910 -4.5479
5.1604 -4.7246
6.9533 -5.0643
2.3113 -5.4444
2.9458 -4.9490
3.4069 -4.8653
5.4718 -5.7611
5.8663 -5.1377
6.1137 -4.9262
3.1651 -6.3513
6.8140 -3.8894
3.5439 -5.3551
5.8574 -5.3955
5.4427 -6.2884
5.2572 -3.2898
7.5617 -3.9931
7.5687 -7.3377
4.7358 -5.4873
3.2221 -7.2369
5.7671 -5.3578
3.2711 -5.2173
5.5387 -5.0298
6.8796 -5.3744
4.9006 -7.7188
6.1071 -4.2398
4.5411 -3.6927
5.7625 -6.0428
6.0711 -2.9118
2.9311 -5.3845
7.1971 -6.5135
7.6356 -4.1874
3.1170 -4.0779
3.8831 -4.3513
6.5251 -4.7049
6.7684 -3.7982
6.2742 -2.6898
6.7816 -3.3795
6.4280 -3.6431
4.2662 -4.5082
3.8478 -5.6384
4.8695 -2.9848
6.7222 -3.4950
4.2146 -5.4078
5.8179 -5.7632
6.4002 -2.3280
5.4020 -5.0665
4.5658 -6.5905
5.0040 -4.4773
4.8172 -7.6359
8.7165 -7.2416
3.9931 -2.8795
5.3942 -6.1605
3.7292 -3.7944
7.2824 -3.1367
3.2552 -5.0430
5.9606 -3.3074
4.5837 -3.2474
6.5745 -3.6594
6.0613 -4.0199
4.8458 -6.3027
3.9797 -3.4113
5.1664 -3.1511
7.5952 -6.9708
3.1061 -6.0792
4.6247 -9.6433
